"","dk","ck","nngp"
"1",0.123132367616272,0.0689125859061375,3.29391866187532e-05
"2",0.121615763856873,0.0723999530717859,5.01229319060064e-06
"3",0.00196548086140863,0.295010104985786,3.93896142509957e-08
"4",0.45208297060789,0.208789317146892,4.92610154117615e-05
"5",0.45356862063569,0.209806325203678,0.000326024162394947
"6",0.718943591972781,1.34262161835621,0.00452492243463247
"7",0.821701438807783,1.48136999503521,0.0157945598178114
"8",0.935446415013226,0.947748709169413,1.2932733341782
"9",10.3932098669456,10.4363775783403,1.27957878325408
"10",10.3990952988377,10.4489513593474,1.17324521540792
"11",0.00999291354837032,0.217734141522554,0.0006301909311366
"12",1.36896114646528,0.690871163573122,1.13134382207334
"13",1.36906794671098,0.686481719338529,0.543879163035282
"14",1.37813930347157,0.698831646013715,1.2843737261244
"15",1.38904738626242,0.710936212214248,0.515427797101132
"16",1.01942518209752,1.80796997575474,0.895590544674079
"17",0.54105311175767,0.451811880792143,0.066995370910763
"18",0.543567351695988,0.456288334825099,0.0574223568204199
"19",0.721662604927025,0.810835411558722,0.00189528189967868
"20",0.530936372466863,0.163882598496573,0.0670143242688756
"21",1.45577940004129,0.774516089692199,0.625963223643551
"22",1.15585138211083,0.561151984127078,0.276902254652036
"23",1.14405275650833,0.555336213434813,0.380655919771236
"24",0.390270690463549,0.176791037544049,0.000279233112705807
"25",0.391988417968808,0.129370666934298,8.49801568222739e-05
"26",0.389762070005099,0.126301236639179,0.000168631596116012
"27",0.435801363750224,0.155730618800189,0.000679792750116138
"28",0.00735134657953501,0.471644990716741,0.713405927723314
"29",0.006833165595308,0.468430754780421,0.682362862436207
"30",1.64303395862225,0.4611904722635,0.302891381233238
"31",0.0335642682013435,0.104410879604564,0.283692108516932
"32",1.32963304499541,1.67436111011351,0.307560738239908
"33",0.105610805034748,0.00190019387054237,0.297434582869583
"34",0.102206902641083,0.00207815421294073,0.280667943522334
"35",0.10146767142659,0.00235597615250301,0.298005919789415
"36",1.54521911678872,0.765168148501516,0.146942740723892
"37",1.54061576562166,0.761165822139783,0.137823892284815
"38",0.110124638433507,0.00566693272972517,0.0581951681543802
"39",0.110739142454378,0.00566499452012514,0.0520850270547539
"40",4.00787491177378e-05,0.063831286079187,0.0162126138746178
