"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"61",63896,"C0810F043",34.7,1.617319877,"measured",0,3,"",1942,-109.87,33.71,"F","AZ"
"62",64776,"C0813F061",0.34,1.617319877,"measured",0,5,"sl",1418,-113.45,35.18,"F","AZ"
"63",65317,"C0814R011",0.24,1.617319877,"measured",0,5,"l",281,-112.97,33.33,"R","AZ"
"64",65225,"F0814F011",21.71,1.617319877,"measured",0,1,"",1803,-112.51,34.47,"F","AZ"
"65",65239,"F0814F014",39.91,1.617319877,"measured",0,1,"",1803,-112.51,34.47,"F","AZ"
"66",65243,"F0814F015",22.37,1.617319877,"measured",0,1,"",1803,-112.51,34.47,"F","AZ"
"67",127352,"C1601F041",4.49,1.617319877,"measured",0,5,"sl",NA,-93.71,35.65,"F","AR"
"68",127514,"C1601P041",2.35,1.617319877,"measured",0,3,"sl",NA,-93.61,35.5,"P","AR"
"69",128294,"C1603C021",1.16,1.617319877,"measured",0,5,"sil",NA,-91.21,34.34,"C","AR"
"70",129765,"C1607F031",12.21,1.617319877,"measured",0,2,"",NA,-91.78,33.1,"F","AR"
"71",129780,"C1607F033",6.53,1.617319877,"measured",0,2,"",NA,-91.78,33.1,"F","AR"
"72",129789,"C1607F034",9.58,1.617319877,"measured",0,2,"",NA,-91.78,33.1,"F","AR"
"73",129798,"C1607F035",12.4,1.617319877,"measured",0,2,"sil",NA,-91.78,33.1,"F","AR"
"74",133363,"C1611F251",33.42,1.617319877,"measured",0,2,"",NA,-92.76,34.32,"F","AR"
"75",133414,"C1611F271",26.48,1.617319877,"measured",0,5,"",NA,-92.23,34.51,"F","AR"
"76",133423,"C1611F272",9.98,1.617319877,"measured",0,5,"",NA,-92.23,34.51,"F","AR"
"77",133432,"C1611F273",4.38,1.617319877,"measured",0,3,"",NA,-92.23,34.51,"F","AR"
"78",133440,"C1611F274",9.58,1.617319877,"measured",0,5,"",NA,-92.23,34.51,"F","AR"
"79",133450,"C1611F275",17.58,1.617319877,"measured",0,3,"",NA,-92.23,34.51,"F","AR"
