"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"59",113827,"C1403P101",3.254664636,2.023379439,"modeled",0,7,"l",NA,-85.85,33.51,"P","AL"
"60",113831,"C1403P102",2.795826256,1.738126042,"modeled",0,6,"sl",NA,-85.85,33.51,"P","AL"
"61",113837,"C1403P103",3.729007919,2.318272017,"modeled",0,8,"sl",NA,-85.85,33.51,"P","AL"
"62",113841,"C1403P104",2.628202682,1.633916813,"modeled",0,5,"sl",NA,-85.85,33.51,"P","AL"
"63",113847,"C1403P105",3.847524771,2.391952285,"modeled",0,8,"fsl",NA,-85.85,33.51,"P","AL"
"64",116611,"C1407F011",49.24,1.617319877,"measured",0,3,"",NA,-85.68,33.02,"F","AL"
"65",116616,"C1407F012",44.51,1.617319877,"measured",0,4,"",NA,-85.68,33.02,"F","AL"
"66",116620,"C1407F013",39.04,1.617319877,"measured",0,4,"",NA,-85.68,33.02,"F","AL"
"67",116626,"C1407F014",48.45,1.617319877,"measured",0,5,"",NA,-85.68,33.02,"F","AL"
"68",116633,"C1407F015",44.42,1.617319877,"measured",0,3,"",NA,-85.68,33.02,"F","AL"
"69",117081,"C1407P242",5.502959104,3.421112634,"modeled",0,18,"fsl",NA,-85.42,33.32,"P","AL"
"70",117085,"C1407P243",6.325518332,3.93248619,"modeled",0,5,"fsl",NA,-85.42,33.32,"P","AL"
"71",117090,"C1407P244",5.179023923,3.219726667,"modeled",0,5,"sl",NA,-85.42,33.32,"P","AL"
"72",117094,"C1407P245",4.790700791,2.978311612,"modeled",0,5,"fsl",NA,-85.42,33.32,"P","AL"
"73",117162,"C1407P281",3.618922947,2.249833731,"modeled",0,4,"scl",NA,-85.85,33.51,"P","AL"
"74",117176,"C1407P284",2.534794151,1.575846037,"modeled",0,9,"sl",NA,-85.85,33.51,"P","AL"
"75",117182,"C1407P285",2.247434893,1.397198809,"modeled",0,10,"ls",NA,-85.85,33.51,"P","AL"
"76",119754,"C1501C041",2.127183128,1.32243997,"modeled",0,30,"ls",55,-85.95,31.06,"C","AL"
"77",119758,"C1501C042",2.571639497,1.598752272,"modeled",0,16,"ls",55,-85.95,31.06,"C","AL"
"78",119762,"C1501C043",1.841699906,1.144959048,"modeled",0,32,"ls",55,-85.95,31.06,"C","AL"
"79",119766,"C1501C044",2.78031824,1.728484925,"modeled",0,20,"ls",55,-85.95,31.06,"C","AL"
"80",119770,"C1501C045",1.992019173,1.238410432,"modeled",0,30,"ls",55,-85.95,31.06,"C","AL"
"81",120195,"C1501W041",7.780431319,7.172807636,"modeled",0,18,"l",29.7000007629395,-87.57,30.64,"W","AL"
"82",120199,"C1501W042",14.30828734,8.895261923,"modeled",0,20,"",29.7000007629395,-87.57,30.64,"W","AL"
"83",120202,"C1501W043",19.50707606,12.12727609,"modeled",0,21,"",29.7000007629395,-87.57,30.64,"W","AL"
"84",120204,"C1501W044",28.21846138,17.54302238,"modeled",0,18,"",29.7000007629395,-87.57,30.64,"W","AL"
"85",120206,"C1501W045",32.2140569,20.02702818,"modeled",0,7,"",29.7000007629395,-87.57,30.64,"W","AL"
"86",120323,"C1502C071",5.975529775,3.714903204,"modeled",0,5,"fsl",NA,-87.72,33.96,"C","AL"
"87",120326,"C1502C072",21.92229772,13.62878558,"modeled",0,5,"fsl",NA,-87.72,33.96,"C","AL"
"88",120329,"C1502C073",11.93842249,7.421950124,"modeled",0,3,"fsl",NA,-87.72,33.96,"C","AL"
"89",120332,"C1502C074",23.72790222,14.75130462,"modeled",0,3,"fsl",NA,-87.72,33.96,"C","AL"
"90",120335,"C1502C075",3.525440918,2.191717263,"modeled",0,5,"fsl",NA,-87.72,33.96,"C","AL"
"91",120338,"C1502F011",2.65,1.617319877,"measured",0,25,"sil",NA,-87.87,34.4,"F","AL"
"92",120341,"C1502F012",2.373772941,1.475741405,"modeled",0,24,"sil",NA,-87.87,34.4,"F","AL"
"93",120343,"C1502F013",2.072623349,1.288520919,"modeled",0,54,"sil",NA,-87.87,34.4,"F","AL"
"94",120344,"C1502F014",2.846135802,1.769402782,"modeled",0,5,"sil",NA,-87.87,34.4,"F","AL"
"95",120346,"C1502F015",2.048531216,1.273543178,"modeled",0,25,"sil",NA,-87.87,34.4,"F","AL"
"96",120348,"C1502F021",1.625849599,1.010767934,"modeled",0,4,"ls",NA,-87.68,34.71,"F","AL"
"97",120351,"C1502F022",1.434783371,0.891984735,"modeled",0,5,"ls",NA,-87.68,34.71,"F","AL"
"98",120354,"C1502F023",1.033036794,0.642224512,"modeled",0,5,"ls",NA,-87.68,34.71,"F","AL"
"99",120357,"C1502F024",1.572580852,0.9776515,"modeled",0,5,"ls",NA,-87.68,34.71,"F","AL"
"100",120360,"C1502F025",4.025319162,2.502484569,"modeled",0,6,"ls",NA,-87.68,34.71,"F","AL"
"101",120363,"C1502F031",3.334222222,2.072839276,"modeled",0,5,"sil",NA,-87.9,34.35,"F","AL"
"102",120366,"C1502F032",2.704292797,1.681220972,"modeled",0,5,"sil",NA,-87.9,34.35,"F","AL"
"103",120369,"C1502F033",2.838963565,1.764943903,"modeled",0,3,"sil",NA,-87.9,34.35,"F","AL"
"104",120372,"C1502F034",5.969488301,3.711147304,"modeled",0,20,"sil",NA,-87.9,34.35,"F","AL"
"105",120374,"C1502F035",6.501920749,4.042153103,"modeled",0,5,"sil",NA,-87.9,34.35,"F","AL"
"106",120401,"C1502F051",3.788565684,2.355298246,"modeled",0,8,"sicl",91,-86.84,31.93,"F","AL"
"107",120404,"C1502F052",7.646726454,4.753862782,"modeled",0,10,"",91,-86.84,31.93,"F","AL"
"108",120405,"C1502F053",4.224905994,2.626564908,"modeled",0,10,"",91,-86.84,31.93,"F","AL"
"109",120406,"C1502F054",29.76671221,18.50554825,"modeled",0,8,"",91,-86.84,31.93,"F","AL"
"110",120409,"C1502F055",8.267580909,5.139839305,"modeled",0,18,"",91,-86.84,31.93,"F","AL"
"111",120500,"C1502P061",2.820282813,1.753330341,"modeled",0,12,"sicl",61,-87.52,32.52,"P","AL"
"112",120506,"C1502P062",2.937170538,1.825997803,"modeled",0,12,"",61,-87.52,32.52,"P","AL"
"113",120510,"C1502P063",4.137807164,2.572416785,"modeled",0,12,"",61,-87.52,32.52,"P","AL"
"114",120513,"C1502P064",4.001002297,2.487367114,"modeled",0,24,"",61,-87.52,32.52,"P","AL"
"115",120516,"C1502P065",3.898107565,2.4233989,"modeled",0,12,"",61,-87.52,32.52,"P","AL"
"116",121368,"C1504W021",9.5,1.617319877,"measured",0,18,"",3,-87.73,30.41,"W","AL"
"117",121370,"C1504W022",17.88,1.617319877,"measured",0,18,"",3,-87.73,30.41,"W","AL"
"118",121375,"C1504W024",14.23,1.617319877,"measured",0,16,"",3,-87.73,30.41,"W","AL"
"119",121377,"C1504W025",13.83,1.617319877,"measured",0,18,"",3,-87.73,30.41,"W","AL"
"120",121561,"C1505F031",3.865755618,2.403286147,"modeled",0,7,"fsl",NA,-87.82,32.9,"F","AL"
"121",121564,"C1505F032",2.650387263,1.647708656,"modeled",0,5,"fsl",NA,-87.82,32.9,"F","AL"
"122",121567,"C1505F033",1.218248052,0.757367758,"modeled",0,10,"fsl",NA,-87.82,32.9,"F","AL"
"123",121569,"C1505F034",2.212575336,1.37552711,"modeled",0,8,"fsl",NA,-87.82,32.9,"F","AL"
"124",121572,"C1505F035",3.263481045,2.028860477,"modeled",0,8,"fsl",NA,-87.82,32.9,"F","AL"
"125",121575,"C1505F041",3.418699061,2.125357344,"modeled",0,13,"sl",58,-86.9,32.93,"F","AL"
"126",121580,"C1505F042",4.475000301,2.782045037,"modeled",0,10,"",58,-86.9,32.93,"F","AL"
