"mse_vec_krig","mse_vec_nn","mse_vec_dkrig","mse_vec_ckrig"
4.7228069049073e-05,0.000101320583780762,0.000228709264774807,0.000250297365710139
0.000118132767243372,9.8334981885273e-05,3.85237617592793e-05,2.14618576137582e-05
3.91203973735228e-05,2.83705376205035e-05,1.16596174848382e-05,4.93117704536417e-06
0.000289553752058963,1.90902974281926e-05,1.43773459058139e-05,5.09895744471578e-06
0.000175727605786691,1.85513345059007e-05,1.23242598419893e-05,6.02013597017503e-06
0.000367653356028821,1.59066712512868e-05,1.15689308586298e-05,4.50729112344561e-06
0.000300170623126889,1.50408968693228e-05,1.27620405692142e-05,7.48890579416184e-06
0.000200622775850357,1.03401616797782e-05,1.81811010406818e-05,3.73185730495607e-06
0.0010646051757398,1.52146822074428e-05,9.73367423284799e-06,6.3425568441744e-06
0.000170089437995193,1.45067715493497e-05,9.67337473412044e-06,2.00123599825019e-06
