"mse_vec_krig","mse_vec_nn","mse_vec_dkrig","mse_vec_ckrig"
344578.719510997,306849.5,17763.62890625,8509.8203125
340401.577501271,287017.96875,14062.10546875,7214.88330078125
353263.06535955,168097.578125,14835.0986328125,7421.896484375
329362.665347537,212399.6875,18862.3828125,10452.6611328125
349184.563700161,320494.46875,17617.3046875,8574.419921875
