"mse_vec_krig","mse_vec_nn","mse_vec_dkrig","mse_vec_ckrig"
0.00141358079828128,0.00158596225082874,0.00176286231726408,0.00224970490671694
0.000143397703871069,0.000112708941742312,0.000373582442989573,0.000501061091199517
0.000232669129211533,0.000419768679421395,0.000514896761160344,0.000393225200241432
9.09032601882097e-05,0.000150395149830729,0.000279182160738856,0.000367017084499821
0.000153839430052951,0.000114722723083105,0.00020582095021382,0.000185020486242138
0.000100132342623311,0.00011260208702879,0.000216601183637977,0.000251663295784965
0.00017908969981117,0.000223069946514443,0.000275022961432114,0.000351595896063372
0.000215712415540354,0.000143900833791122,0.000179006383405067,0.000272580102318898
9.61732119938184e-05,0.000169070728588849,0.000210752958082594,0.000403918907977641
8.15583917782341e-05,0.000149302912177518,0.000216910004382953,0.00023267327924259
